"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107446",
"Firmware Version","02.300",
"Date","2024-02-20",
"Time","13:07:15",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Peak Peak",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,V,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3016,,
"Current",,4.380000e-02,,
"Average No.",,1.000000e+03,,
"Min",,3.640000e-02,,
"Max",,7.100000e-02,,
"Mean",,4.385940e-02,,
"StdDev",,2.668600e-03,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,3.620000e-02,,
"Long term Max",,7.780000e-02,,
"Long term Mean",,4.396500e-02,,
"Long term StdDev",,2.727000e-03,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
228,,4.500000e-02,
229,,4.580000e-02,
230,,4.440000e-02,
231,,4.500000e-02,
232,,4.780000e-02,
233,,4.600000e-02,
234,,3.980000e-02,
235,,4.180000e-02,
236,,4.340000e-02,
237,,3.980000e-02,
238,,4.800000e-02,
239,,4.300000e-02,
240,,4.580000e-02,
241,,4.240000e-02,
242,,4.500000e-02,
243,,4.900000e-02,
244,,4.360000e-02,
245,,4.520000e-02,
246,,4.080000e-02,
247,,4.100000e-02,
248,,4.620000e-02,
249,,4.220000e-02,
250,,3.940000e-02,
251,,4.940000e-02,
252,,4.420000e-02,
253,,4.900000e-02,
254,,4.260000e-02,
255,,4.380000e-02,
256,,4.540000e-02,
257,,4.520000e-02,
258,,4.520000e-02,
259,,4.380000e-02,
260,,4.320000e-02,
261,,4.800000e-02,
262,,3.760000e-02,
263,,4.440000e-02,
264,,4.500000e-02,
265,,4.500000e-02,
266,,4.380000e-02,
267,,4.200000e-02,
268,,4.240000e-02,
269,,4.640000e-02,
270,,4.680000e-02,
271,,4.320000e-02,
272,,4.560000e-02,
273,,4.380000e-02,
274,,4.480000e-02,
275,,4.620000e-02,
276,,4.100000e-02,
277,,4.600000e-02,
278,,4.500000e-02,
279,,4.260000e-02,
280,,3.980000e-02,
281,,4.540000e-02,
282,,4.560000e-02,
283,,4.600000e-02,
284,,4.580000e-02,
285,,4.460000e-02,
286,,4.360000e-02,
287,,4.460000e-02,
288,,4.500000e-02,
289,,4.340000e-02,
290,,4.780000e-02,
291,,4.460000e-02,
292,,4.800000e-02,
293,,4.420000e-02,
294,,5.040000e-02,
295,,4.500000e-02,
296,,4.540000e-02,
297,,4.280000e-02,
298,,4.600000e-02,
299,,4.480000e-02,
300,,4.480000e-02,
301,,4.680000e-02,
302,,4.540000e-02,
303,,4.620000e-02,
304,,4.500000e-02,
305,,4.500000e-02,
306,,4.180000e-02,
307,,4.660000e-02,
308,,4.540000e-02,
309,,4.580000e-02,
310,,4.700000e-02,
311,,4.000000e-02,
312,,4.100000e-02,
313,,4.360000e-02,
314,,4.360000e-02,
315,,4.580000e-02,
316,,4.560000e-02,
317,,4.480000e-02,
318,,4.420000e-02,
319,,4.460000e-02,
320,,4.520000e-02,
321,,4.460000e-02,
322,,4.100000e-02,
323,,4.660000e-02,
324,,4.400000e-02,
325,,4.380000e-02,
326,,4.520000e-02,
327,,4.560000e-02,
328,,4.520000e-02,
329,,4.260000e-02,
330,,4.440000e-02,
331,,3.980000e-02,
332,,4.540000e-02,
333,,4.500000e-02,
334,,4.360000e-02,
335,,4.480000e-02,
336,,4.220000e-02,
337,,4.760000e-02,
338,,4.380000e-02,
339,,5.000000e-02,
340,,4.440000e-02,
341,,4.380000e-02,
342,,4.580000e-02,
343,,4.600000e-02,
344,,4.140000e-02,
345,,4.260000e-02,
346,,4.200000e-02,
347,,4.140000e-02,
348,,4.120000e-02,
349,,4.240000e-02,
350,,4.340000e-02,
351,,4.360000e-02,
352,,4.620000e-02,
353,,4.280000e-02,
354,,4.580000e-02,
355,,4.180000e-02,
356,,3.900000e-02,
357,,4.780000e-02,
358,,4.180000e-02,
359,,4.600000e-02,
360,,4.120000e-02,
361,,3.880000e-02,
362,,4.280000e-02,
363,,4.420000e-02,
364,,4.500000e-02,
365,,4.500000e-02,
366,,4.280000e-02,
367,,4.460000e-02,
368,,4.120000e-02,
369,,4.300000e-02,
370,,4.360000e-02,
371,,4.240000e-02,
372,,4.680000e-02,
373,,4.060000e-02,
374,,3.780000e-02,
375,,4.660000e-02,
376,,4.380000e-02,
377,,4.120000e-02,
378,,4.700000e-02,
379,,3.880000e-02,
380,,4.580000e-02,
381,,4.180000e-02,
382,,4.460000e-02,
383,,3.740000e-02,
384,,4.040000e-02,
385,,4.040000e-02,
386,,4.580000e-02,
387,,4.380000e-02,
388,,4.660000e-02,
389,,4.780000e-02,
390,,4.360000e-02,
391,,4.640000e-02,
392,,4.200000e-02,
393,,4.000000e-02,
394,,4.260000e-02,
395,,4.200000e-02,
396,,4.340000e-02,
397,,4.500000e-02,
398,,4.180000e-02,
399,,4.500000e-02,
400,,4.340000e-02,
401,,4.620000e-02,
402,,4.860000e-02,
403,,4.460000e-02,
404,,4.560000e-02,
405,,3.880000e-02,
406,,4.360000e-02,
407,,4.360000e-02,
408,,4.360000e-02,
409,,4.040000e-02,
410,,4.560000e-02,
411,,4.040000e-02,
412,,3.640000e-02,
413,,4.080000e-02,
414,,4.560000e-02,
415,,4.680000e-02,
416,,4.180000e-02,
417,,4.680000e-02,
418,,4.260000e-02,
419,,4.760000e-02,
