EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
118.568,-30,0,0.0044
150.542,-30,0,0.0044
147.897,-30,0,0.0044
207.827,-30,0,0.0044
181.694,-30,0,0.0044
118.784,-30,0,0.0044
76.1076,-30,0,0.0044
377.415,-30,0,0.0044
293.864,-30,0,0.0044
471.749,-30,0,0.0044
219.603,-30,0,0.0044
104.193,-30,0,0.0044
789.848,-30,0,0.0044
345.764,-30,0,0.0044
119.227,-30,0,0.0044
93.9029,-30,0,0.0044
186.41,-30,0,0.0044
226.521,-30,0,0.0044
218.623,-30,0,0.0044
350.051,-30,0,0.0044
187.42,-30,0,0.0044
116.037,-30,0,0.0044
117.561,-30,0,0.0044
69.7069,-30,0,0.0044
336.566,-30,0,0.0044
108.536,-30,0,0.0044
88.8874,-30,0,0.0044
90.6061,-30,0,0.0044
127.242,-30,0,0.0044
106.397,-30,0,0.0044
14.1989,-30,0,0.0044
276.58,-30,0,0.0044
93.4175,-30,0,0.0044
91.8749,-30,0,0.0044
195.85,-30,0,0.0044
91.1729,-30,0,0.0044
46.4725,-30,0,0.0044
119.048,-30,0,0.0044
104.841,-30,0,0.0044
71.3313,-30,0,0.0044
112.751,-30,0,0.0044
184.932,-30,0,0.0044
403.096,-30,0,0.0044
193.498,-30,0,0.0044
290.949,-30,0,0.0044
119.426,-30,0,0.0044
170.853,-30,0,0.0044
237.761,-30,0,0.0044
81.3523,-30,0,0.0044
372.345,-30,0,0.0044
325.707,-30,0,0.0044
342.477,-30,0,0.0044
79.2075,-30,0,0.0044
189.375,-30,0,0.0044
204.099,-30,0,0.0044
115.495,-30,0,0.0044
134.269,-30,0,0.0044
126.586,-30,0,0.0044
386.559,-30,0,0.0044
172.884,-30,0,0.0044
103.314,-30,0,0.0044
100.123,-30,0,0.0044
149.536,-30,0,0.0044
354.636,-30,0,0.0044
6.11764,-30,0,0.0044
101.909,-30,0,0.0044
124.98,-30,0,0.0044
145.662,-30,0,0.0044
109.042,-30,0,0.0044
84.2365,-30,0,0.0044
348.317,-30,0,0.0044
363.551,-30,0,0.0044
92.6262,-30,0,0.0044
95.3429,-30,0,0.0044
17.1444,-30,0,0.0044
108.369,-30,0,0.0044
320.104,-30,0,0.0044
364.919,-30,0,0.0044
118.228,-30,0,0.0044
82.0858,-30,0,0.0044
86.7115,-30,0,0.0044
118.755,-30,0,0.0044
108.005,-30,0,0.0044
905.177,-30,0,0.0044
116.552,-30,0,0.0044
141.833,-30,0,0.0044
108.432,-30,0,0.0044
111.234,-30,0,0.0044
147.937,-30,0,0.0044
11.8801,-30,0,0.0044
131.955,-30,0,0.0044
115.443,-30,0,0.0044
91.0456,-30,0,0.0044
93.178,-30,0,0.0044
96.7701,-30,0,0.0044
25.2542,-30,0,0.0044
376.188,-30,0,0.0044
174.172,-30,0,0.0044
193.387,-30,0,0.0044
478.098,-30,0,0.0044
105.002,-30,0,0.0044
121.377,-30,0,0.0044
279.357,-30,0,0.0044
181.144,-30,0,0.0044
559.015,-30,0,0.0044
249.512,-30,0,0.0044
182.433,-30,0,0.0044
375.81,-30,0,0.0044
106.152,-30,0,0.0044
377.489,-30,0,0.0044
296.489,-30,0,0.0044
189.072,-30,0,0.0044
568.044,-30,0,0.0044
525.77,-30,0,0.0044
15.7867,-30,0,0.0044
108.284,-30,0,0.0044
116.859,-30,0,0.0044
253.523,-30,0,0.0044
437.396,-30,0,0.0044
230.661,-30,0,0.0044
180.529,-30,0,0.0044
320.794,-30,0,0.0044
169.047,-30,0,0.0044
130.782,-30,0,0.0044
245.767,-30,0,0.0044
374.876,-30,0,0.0044
120.233,-30,0,0.0044
129.67,-30,0,0.0044
169.362,-30,0,0.0044
87.3508,-30,0,0.0044
123.892,-30,0,0.0044
106.008,-30,0,0.0044
112.674,-30,0,0.0044
155.678,-30,0,0.0044
147.207,-30,0,0.0044
112.446,-30,0,0.0044
9.0602,-30,0,0.0044
88.9976,-30,0,0.0044
499.134,-30,0,0.0044
469.602,-30,0,0.0044
479.36,-30,0,0.0044
165.375,-30,0,0.0044
18.6819,-30,0,0.0044
123.262,-30,0,0.0044
93.4855,-30,0,0.0044
119.985,-30,0,0.0044
105.892,-30,0,0.0044
102.817,-30,0,0.0044
131.558,-30,0,0.0044
83.5681,-30,0,0.0044
366.086,-30,0,0.0044
257.47,-30,0,0.0044
142.021,-30,0,0.0044
315.874,-30,0,0.0044
383.278,-30,0,0.0044
183.603,-30,0,0.0044
174.645,-30,0,0.0044
85.1952,-30,0,0.0044
89.3867,-30,0,0.0044
133.208,-30,0,0.0044
107.602,-30,0,0.0044
91.015,-30,0,0.0044
270.551,-30,0,0.0044
889.563,-30,0,0.0044
120.964,-30,0,0.0044
99.292,-30,0,0.0044
426.562,-30,0,0.0044
77.9684,-30,0,0.0044
152.232,-30,0,0.0044
115.26,-30,0,0.0044
109.034,-30,0,0.0044
97.2667,-30,0,0.0044
26.6658,-30,0,0.0044
145.71,-30,0,0.0044
109.15,-30,0,0.0044
76.7596,-30,0,0.0044
561.023,-30,0,0.0044
45.6658,-30,0,0.0044
75.1314,-30,0,0.0044
91.6612,-30,0,0.0044
338.129,-30,0,0.0044
93.7206,-30,0,0.0044
264.371,-30,0,0.0044
111.438,-30,0,0.0044
80.2406,-30,0,0.0044
246.79,-30,0,0.0044
154.408,-30,0,0.0044
75.679,-30,0,0.0044
115.98,-30,0,0.0044
412.444,-30,0,0.0044
147.559,-30,0,0.0044
83.4185,-30,0,0.0044
313.629,-30,0,0.0044
143.924,-30,0,0.0044
270.816,-30,0,0.0044
