EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
295.416,-60,0,0.0044
91.834,-60,0,0.0044
187.276,-60,0,0.0044
103.742,-60,0,0.0044
225.312,-60,0,0.0044
145.109,-60,0,0.0044
91.0973,-60,0,0.0044
125.725,-60,0,0.0044
250.814,-60,0,0.0044
165.421,-60,0,0.0044
134.297,-60,0,0.0044
535.334,-60,0,0.0044
125.04,-60,0,0.0044
136.884,-60,0,0.0044
84.2061,-60,0,0.0044
97.3341,-60,0,0.0044
543.917,-60,0,0.0044
88.678,-60,0,0.0044
87.5304,-60,0,0.0044
110.6,-60,0,0.0044
108.54,-60,0,0.0044
145.669,-60,0,0.0044
12.2394,-60,0,0.0044
77.5019,-60,0,0.0044
400.434,-60,0,0.0044
315.839,-60,0,0.0044
175.002,-60,0,0.0044
125.518,-60,0,0.0044
159.695,-60,0,0.0044
112.273,-60,0,0.0044
100.317,-60,0,0.0044
90.8232,-60,0,0.0044
74.992,-60,0,0.0044
118.952,-60,0,0.0044
350.3,-60,0,0.0044
228.813,-60,0,0.0044
284.182,-60,0,0.0044
101.704,-60,0,0.0044
97.047,-60,0,0.0044
117.057,-60,0,0.0044
90.3667,-60,0,0.0044
92.3078,-60,0,0.0044
272.821,-60,0,0.0044
240.605,-60,0,0.0044
130.813,-60,0,0.0044
124.485,-60,0,0.0044
70.4731,-60,0,0.0044
107.189,-60,0,0.0044
107.359,-60,0,0.0044
16.1887,-60,0,0.0044
389.721,-60,0,0.0044
347.912,-60,0,0.0044
408.649,-60,0,0.0044
483.995,-60,0,0.0044
383.664,-60,0,0.0044
99.4054,-60,0,0.0044
133.934,-60,0,0.0044
148.422,-60,0,0.0044
85.7228,-60,0,0.0044
80.2607,-60,0,0.0044
621.581,-60,0,0.0044
90.0057,-60,0,0.0044
119.158,-60,0,0.0044
96.622,-60,0,0.0044
141.545,-60,0,0.0044
109.036,-60,0,0.0044
398.011,-60,0,0.0044
313.871,-60,0,0.0044
137.217,-60,0,0.0044
299.528,-60,0,0.0044
127.159,-60,0,0.0044
363.801,-60,0,0.0044
18.2962,-60,0,0.0044
79.8522,-60,0,0.0044
111.028,-60,0,0.0044
86.9858,-60,0,0.0044
195.828,-60,0,0.0044
96.0501,-60,0,0.0044
175.236,-60,0,0.0044
98.0956,-60,0,0.0044
190.664,-60,0,0.0044
104.676,-60,0,0.0044
132.932,-60,0,0.0044
103.236,-60,0,0.0044
116.176,-60,0,0.0044
107.413,-60,0,0.0044
89.149,-60,0,0.0044
296.029,-60,0,0.0044
80.9603,-60,0,0.0044
193.146,-60,0,0.0044
84.6316,-60,0,0.0044
182.39,-60,0,0.0044
79.1264,-60,0,0.0044
9.88109,-60,0,0.0044
202.368,-60,0,0.0044
275.516,-60,0,0.0044
197.021,-60,0,0.0044
117.932,-60,0,0.0044
116.445,-60,0,0.0044
103.538,-60,0,0.0044
93.3415,-60,0,0.0044
126.834,-60,0,0.0044
115.89,-60,0,0.0044
338.224,-60,0,0.0044
119.182,-60,0,0.0044
77.2015,-60,0,0.0044
88.0066,-60,0,0.0044
407.767,-60,0,0.0044
82.9141,-60,0,0.0044
80.7644,-60,0,0.0044
108.485,-60,0,0.0044
467.973,-60,0,0.0044
113.611,-60,0,0.0044
108.344,-60,0,0.0044
242.062,-60,0,0.0044
114.342,-60,0,0.0044
35.5528,-60,0,0.0044
73.4668,-60,0,0.0044
99.8447,-60,0,0.0044
113.875,-60,0,0.0044
199.42,-60,0,0.0044
80.1179,-60,0,0.0044
91.822,-60,0,0.0044
105.013,-60,0,0.0044
115.998,-60,0,0.0044
71.1813,-60,0,0.0044
116.98,-60,0,0.0044
300.958,-60,0,0.0044
106.932,-60,0,0.0044
99.3978,-60,0,0.0044
140.497,-60,0,0.0044
80.1845,-60,0,0.0044
113.749,-60,0,0.0044
91.5965,-60,0,0.0044
361.915,-60,0,0.0044
127.14,-60,0,0.0044
97.8198,-60,0,0.0044
287.355,-60,0,0.0044
130.901,-60,0,0.0044
337.991,-60,0,0.0044
90.3465,-60,0,0.0044
100.969,-60,0,0.0044
214.195,-60,0,0.0044
58.5075,-60,0,0.0044
364.719,-60,0,0.0044
1.13491,-60,0,0.0044
389.341,-60,0,0.0044
119.774,-60,0,0.0044
114.183,-60,0,0.0044
143.686,-60,0,0.0044
93.5606,-60,0,0.0044
310.484,-60,0,0.0044
109.124,-60,0,0.0044
150.333,-60,0,0.0044
86.7527,-60,0,0.0044
563.725,-60,0,0.0044
126.61,-60,0,0.0044
145.797,-60,0,0.0044
109.747,-60,0,0.0044
171.326,-60,0,0.0044
119.602,-60,0,0.0044
100.924,-60,0,0.0044
428.756,-60,0,0.0044
398.252,-60,0,0.0044
447.638,-60,0,0.0044
89.6968,-60,0,0.0044
87.8289,-60,0,0.0044
114.247,-60,0,0.0044
71.0028,-60,0,0.0044
405.636,-60,0,0.0044
436.203,-60,0,0.0044
