EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
66.4663,-20,0,0
24.2233,-20,0,0
302.764,-20,0,0
98.8049,-20,0,0
90.2658,-20,0,0
158.606,-20,0,0
431.149,-20,0,0
123.989,-20,0,0
237.372,-20,0,0
428.345,-20,0,0
514.464,-20,0,0
124.947,-20,0,0
103.43,-20,0,0
123.115,-20,0,0
336.512,-20,0,0
126.546,-20,0,0
113.602,-20,0,0
229.855,-20,0,0
87.5035,-20,0,0
152.022,-20,0,0
313.142,-20,0,0
470.138,-20,0,0
576.622,-20,0,0
231.43,-20,0,0
149.259,-20,0,0
239.89,-20,0,0
87.0538,-20,0,0
85.1241,-20,0,0
301.71,-20,0,0
199.459,-20,0,0
316.417,-20,0,0
342.653,-20,0,0
218.171,-20,0,0
57.4479,-20,0,0
86.5873,-20,0,0
149.841,-20,0,0
189.89,-20,0,0
79.9291,-20,0,0
125.92,-20,0,0
99.6941,-20,0,0
426.878,-20,0,0
210.456,-20,0,0
544.901,-20,0,0
449.272,-20,0,0
198.603,-20,0,0
108.465,-20,0,0
255.299,-20,0,0
120.014,-20,0,0
111.685,-20,0,0
228.976,-20,0,0
121.366,-20,0,0
397.953,-20,0,0
132.742,-20,0,0
122.611,-20,0,0
123.431,-20,0,0
333.527,-20,0,0
177.319,-20,0,0
235.485,-20,0,0
199.581,-20,0,0
267.627,-20,0,0
81.608,-20,0,0
128.593,-20,0,0
133.406,-20,0,0
90.2087,-20,0,0
171.264,-20,0,0
180.668,-20,0,0
265.666,-20,0,0
179.363,-20,0,0
139.248,-20,0,0
118.444,-20,0,0
118.414,-20,0,0
293.324,-20,0,0
314.998,-20,0,0
116.113,-20,0,0
117.62,-20,0,0
136.112,-20,0,0
141.484,-20,0,0
139.317,-20,0,0
171.027,-20,0,0
115.874,-20,0,0
171.487,-20,0,0
62.5507,-20,0,0
98.9579,-20,0,0
112.61,-20,0,0
194.772,-20,0,0
138.255,-20,0,0
122.834,-20,0,0
195.844,-20,0,0
210.109,-20,0,0
92.0886,-20,0,0
495.349,-20,0,0
66.0486,-20,0,0
272.112,-20,0,0
95.545,-20,0,0
136.797,-20,0,0
176.772,-20,0,0
158.757,-20,0,0
279.09,-20,0,0
586.166,-20,0,0
141.871,-20,0,0
86.1827,-20,0,0
234.912,-20,0,0
153.801,-20,0,0
108.177,-20,0,0
97.6068,-20,0,0
182.567,-20,0,0
129.61,-20,0,0
491.009,-20,0,0
284.225,-20,0,0
151.131,-20,0,0
116.588,-20,0,0
130.445,-20,0,0
148.049,-20,0,0
205.931,-20,0,0
574.483,-20,0,0
108.39,-20,0,0
229.63,-20,0,0
126.737,-20,0,0
86.6801,-20,0,0
157.752,-20,0,0
356.517,-20,0,0
304.849,-20,0,0
178.1,-20,0,0
115.111,-20,0,0
103.94,-20,0,0
93.676,-20,0,0
292.161,-20,0,0
86.7826,-20,0,0
105.292,-20,0,0
249.204,-20,0,0
250.19,-20,0,0
218.936,-20,0,0
235.823,-20,0,0
77.4427,-20,0,0
50.8539,-20,0,0
42.9438,-20,0,0
308.671,-20,0,0
292.688,-20,0,0
197.496,-20,0,0
214.386,-20,0,0
192.603,-20,0,0
145.5,-20,0,0
91.9963,-20,0,0
140.782,-20,0,0
163.623,-20,0,0
98.8884,-20,0,0
314.184,-20,0,0
108.015,-20,0,0
102.379,-20,0,0
234.034,-20,0,0
100.38,-20,0,0
150.522,-20,0,0
250.589,-20,0,0
147.491,-20,0,0
128.778,-20,0,0
380.982,-20,0,0
134.645,-20,0,0
299.323,-20,0,0
105.126,-20,0,0
95.5318,-20,0,0
16.8618,-20,0,0
109.709,-20,0,0
253.611,-20,0,0
357.354,-20,0,0
13.4661,-20,0,0
84.3174,-20,0,0
211.379,-20,0,0
178.591,-20,0,0
122.89,-20,0,0
197.27,-20,0,0
391.261,-20,0,0
76.5799,-20,0,0
41.8513,-20,0,0
97.6211,-20,0,0
142.248,-20,0,0
196.456,-20,0,0
301.944,-20,0,0
153.69,-20,0,0
109.023,-20,0,0
99.1434,-20,0,0
127.871,-20,0,0
131.734,-20,0,0
614.365,-20,0,0
22.204,-20,0,0
630.634,-20,0,0
122.993,-20,0,0
442.143,-20,0,0
334.928,-20,0,0
185.629,-20,0,0
88.389,-20,0,0
128.721,-20,0,0
79.5262,-20,0,0
109.56,-20,0,0
77.5961,-20,0,0
162.718,-20,0,0
138.492,-20,0,0
243.078,-20,0,0
314.189,-20,0,0
140.165,-20,0,0
104.754,-20,0,0
136.336,-20,0,0
243.63,-20,0,0
172.283,-20,0,0
235.725,-20,0,0
93.9943,-20,0,0
80.9776,-20,0,0
80.3752,-20,0,0
182.627,-20,0,0
402.262,-20,0,0
488.411,-20,0,0
1062.56,-20,0,0
138.894,-20,0,0
406.293,-20,0,0
97.0919,-20,0,0
433.232,-20,0,0
279.639,-20,0,0
121.676,-20,0,0
306.336,-20,0,0
106.213,-20,0,0
93.8151,-20,0,0
139.389,-20,0,0
173.806,-20,0,0
88.3005,-20,0,0
103.596,-20,0,0
251.966,-20,0,0
81.5922,-20,0,0
231.641,-20,0,0
103.126,-20,0,0
133.936,-20,0,0
164.377,-20,0,0
94.4666,-20,0,0
210.419,-20,0,0
178.982,-20,0,0
133.826,-20,0,0
89.7443,-20,0,0
236.244,-20,0,0
130.658,-20,0,0
103.702,-20,0,0
92.2197,-20,0,0
13.3078,-20,0,0
115.618,-20,0,0
247.656,-20,0,0
116.329,-20,0,0
143.797,-20,0,0
86.62,-20,0,0
118.328,-20,0,0
107.9,-20,0,0
90.4351,-20,0,0
153.553,-20,0,0
253.338,-20,0,0
242.65,-20,0,0
87.975,-20,0,0
14.1246,-20,0,0
107.99,-20,0,0
250.665,-20,0,0
80.2999,-20,0,0
111.89,-20,0,0
