EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
294.648,-40,0,0
324.744,-40,0,0
242.021,-40,0,0
269.235,-40,0,0
114.418,-40,0,0
286.016,-40,0,0
61.1136,-40,0,0
149.825,-40,0,0
129.91,-40,0,0
101.088,-40,0,0
217.835,-40,0,0
114.177,-40,0,0
411.822,-40,0,0
228.141,-40,0,0
182.503,-40,0,0
81.9341,-40,0,0
86.7378,-40,0,0
86.4748,-40,0,0
13.6286,-40,0,0
223.842,-40,0,0
118.764,-40,0,0
164.134,-40,0,0
244.901,-40,0,0
376.209,-40,0,0
94.4305,-40,0,0
180.347,-40,0,0
234.691,-40,0,0
127.339,-40,0,0
101.503,-40,0,0
166.871,-40,0,0
113.559,-40,0,0
224.912,-40,0,0
107.831,-40,0,0
90.2949,-40,0,0
92.3755,-40,0,0
308.242,-40,0,0
124.408,-40,0,0
98.7664,-40,0,0
103.088,-40,0,0
98.7195,-40,0,0
220.448,-40,0,0
81.5773,-40,0,0
87.8007,-40,0,0
253.044,-40,0,0
90.1394,-40,0,0
200.712,-40,0,0
155.705,-40,0,0
4.44365,-40,0,0
103.82,-40,0,0
211.112,-40,0,0
126.755,-40,0,0
103.245,-40,0,0
281.877,-40,0,0
125.078,-40,0,0
103.79,-40,0,0
125.202,-40,0,0
105.219,-40,0,0
92.4274,-40,0,0
104.802,-40,0,0
189.068,-40,0,0
90.2453,-40,0,0
187.712,-40,0,0
93.213,-40,0,0
482.68,-40,0,0
239.669,-40,0,0
133.341,-40,0,0
88.5483,-40,0,0
193.818,-40,0,0
218.207,-40,0,0
103.649,-40,0,0
260.465,-40,0,0
338.086,-40,0,0
164.65,-40,0,0
162.822,-40,0,0
83.4978,-40,0,0
80.4764,-40,0,0
166.362,-40,0,0
160.914,-40,0,0
183.45,-40,0,0
22.8668,-40,0,0
94.7934,-40,0,0
45.5208,-40,0,0
144.008,-40,0,0
225.726,-40,0,0
94.1432,-40,0,0
93.7823,-40,0,0
108.555,-40,0,0
95.0145,-40,0,0
82.9907,-40,0,0
214.213,-40,0,0
92.0336,-40,0,0
337.897,-40,0,0
106.017,-40,0,0
86.7826,-40,0,0
460.577,-40,0,0
191.29,-40,0,0
83.1487,-40,0,0
419.009,-40,0,0
110.816,-40,0,0
105.614,-40,0,0
128.863,-40,0,0
145.089,-40,0,0
85.0671,-40,0,0
110.283,-40,0,0
161.914,-40,0,0
116.804,-40,0,0
168.156,-40,0,0
198.085,-40,0,0
162.559,-40,0,0
207.704,-40,0,0
141.768,-40,0,0
245.855,-40,0,0
97.9889,-40,0,0
299.2,-40,0,0
100.603,-40,0,0
156.339,-40,0,0
100.395,-40,0,0
76.5019,-40,0,0
101.411,-40,0,0
432.84,-40,0,0
82.9367,-40,0,0
169.372,-40,0,0
226.119,-40,0,0
110.22,-40,0,0
84.8368,-40,0,0
109.102,-40,0,0
141.058,-40,0,0
335.152,-40,0,0
111.944,-40,0,0
153.444,-40,0,0
451.999,-40,0,0
111.795,-40,0,0
191.711,-40,0,0
331.28,-40,0,0
87.8302,-40,0,0
172.427,-40,0,0
196.755,-40,0,0
310.868,-40,0,0
335.374,-40,0,0
74.0822,-40,0,0
194.81,-40,0,0
53.9557,-40,0,0
99.548,-40,0,0
236.519,-40,0,0
144.245,-40,0,0
117.657,-40,0,0
87.8468,-40,0,0
161.307,-40,0,0
78.4202,-40,0,0
7.27215,-40,0,0
92.2299,-40,0,0
99.372,-40,0,0
122.877,-40,0,0
167.699,-40,0,0
223.085,-40,0,0
268.33,-40,0,0
213.657,-40,0,0
132.599,-40,0,0
212.892,-40,0,0
90.8021,-40,0,0
281.94,-40,0,0
172.983,-40,0,0
232.776,-40,0,0
169.805,-40,0,0
94.1254,-40,0,0
38.3783,-40,0,0
102.297,-40,0,0
95.0807,-40,0,0
332.776,-40,0,0
97.9839,-40,0,0
121.491,-40,0,0
165.195,-40,0,0
22.1459,-40,0,0
98.1012,-40,0,0
114.597,-40,0,0
265.245,-40,0,0
94.067,-40,0,0
111.621,-40,0,0
92.1401,-40,0,0
224.523,-40,0,0
113.141,-40,0,0
93.8231,-40,0,0
20.5011,-40,0,0
89.5961,-40,0,0
117.151,-40,0,0
153.48,-40,0,0
99.0058,-40,0,0
114.632,-40,0,0
178.196,-40,0,0
108.374,-40,0,0
102.544,-40,0,0
669.138,-40,0,0
283.825,-40,0,0
232.378,-40,0,0
102.24,-40,0,0
139.785,-40,0,0
14.1246,-40,0,0
275.645,-40,0,0
503.282,-40,0,0
147.31,-40,0,0
191.556,-40,0,0
276.229,-40,0,0
96.7314,-40,0,0
927.291,-40,0,0
104.365,-40,0,0
391.52,-40,0,0
349.809,-40,0,0
142.494,-40,0,0
288.533,-40,0,0
93.7445,-40,0,0
248.097,-40,0,0
186.434,-40,0,0
109.452,-40,0,0
163.981,-40,0,0
90.9862,-40,0,0
394.341,-40,0,0
99.7399,-40,0,0
480.085,-40,0,0
107.336,-40,0,0
70.9427,-40,0,0
122.325,-40,0,0
200.828,-40,0,0
370.378,-40,0,0
320.399,-40,0,0
140.241,-40,0,0
469.499,-40,0,0
112.859,-40,0,0
168.61,-40,0,0
108.189,-40,0,0
450.168,-40,0,0
166.09,-40,0,0
87.389,-40,0,0
116.007,-40,0,0
119.126,-40,0,0
77.5335,-40,0,0
77.664,-40,0,0
89.7979,-40,0,0
193.843,-40,0,0
149.429,-40,0,0
166.167,-40,0,0
178.068,-40,0,0
183.241,-40,0,0
117.343,-40,0,0
61.7368,-40,0,0
121.597,-40,0,0
27.9294,-40,0,0
72.1555,-40,0,0
207.954,-40,0,0
20.7771,-40,0,0
126.076,-40,0,0
87.1581,-40,0,0
246.33,-40,0,0
88.0703,-40,0,0
128.735,-40,0,0
105.072,-40,0,0
191.66,-40,0,0
164.505,-40,0,0
104.167,-40,0,0
203.49,-40,0,0
575.011,-40,0,0
548.862,-40,0,0
97.5604,-40,0,0
109.884,-40,0,0
88.8208,-40,0,0
100.194,-40,0,0
156.644,-40,0,0
244.329,-40,0,0
258.709,-40,0,0
285.392,-40,0,0
119.214,-40,0,0
43.0673,-40,0,0
223.848,-40,0,0
129.666,-40,0,0
140.178,-40,0,0
212.695,-40,0,0
116.517,-40,0,0
161.736,-40,0,0
69.2761,-40,0,0
384.64,-40,0,0
103.645,-40,0,0
78.4162,-40,0,0
119.212,-40,0,0
108.015,-40,0,0
