EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
513.917,-30,0,0
140.118,-30,0,0
98.3831,-30,0,0
79.0983,-30,0,0
85.3697,-30,0,0
178.901,-30,0,0
95.1594,-30,0,0
101.676,-30,0,0
556.287,-30,0,0
82.7181,-30,0,0
103.404,-30,0,0
141.579,-30,0,0
317.354,-30,0,0
112.076,-30,0,0
192.674,-30,0,0
174.095,-30,0,0
135.222,-30,0,0
157.425,-30,0,0
99.5462,-30,0,0
128.001,-30,0,0
106.574,-30,0,0
88.5856,-30,0,0
239.627,-30,0,0
156.838,-30,0,0
120.991,-30,0,0
148.378,-30,0,0
98.1549,-30,0,0
194.021,-30,0,0
38.6605,-30,0,0
128.99,-30,0,0
65.322,-30,0,0
103.628,-30,0,0
147.392,-30,0,0
212.975,-30,0,0
167.236,-30,0,0
124.685,-30,0,0
112.842,-30,0,0
152.538,-30,0,0
87.9463,-30,0,0
102.614,-30,0,0
249.281,-30,0,0
159.497,-30,0,0
145.465,-30,0,0
146.069,-30,0,0
162.979,-30,0,0
136.831,-30,0,0
314.08,-30,0,0
178.76,-30,0,0
388.183,-30,0,0
73.4922,-30,0,0
216.869,-30,0,0
257.532,-30,0,0
343.86,-30,0,0
347.306,-30,0,0
103.988,-30,0,0
93.2218,-30,0,0
110.95,-30,0,0
367.19,-30,0,0
312.535,-30,0,0
574.278,-30,0,0
229.464,-30,0,0
235.873,-30,0,0
539.089,-30,0,0
275.084,-30,0,0
173.612,-30,0,0
371.895,-30,0,0
123.205,-30,0,0
207.356,-30,0,0
187.704,-30,0,0
91.3724,-30,0,0
108.152,-30,0,0
329.475,-30,0,0
109.805,-30,0,0
294.845,-30,0,0
131.409,-30,0,0
616.877,-30,0,0
172.615,-30,0,0
356.892,-30,0,0
81.4771,-30,0,0
238.864,-30,0,0
132.653,-30,0,0
14.1246,-30,0,0
302.877,-30,0,0
139.977,-30,0,0
287.768,-30,0,0
525.065,-30,0,0
349.453,-30,0,0
98.9427,-30,0,0
738.238,-30,0,0
89.3333,-30,0,0
303.83,-30,0,0
368.492,-30,0,0
76.7998,-30,0,0
622.661,-30,0,0
156.667,-30,0,0
231.851,-30,0,0
69.2046,-30,0,0
97.0701,-30,0,0
260.769,-30,0,0
152.66,-30,0,0
182.103,-30,0,0
151.026,-30,0,0
146.767,-30,0,0
67.7436,-30,0,0
105.207,-30,0,0
439.763,-30,0,0
224.677,-30,0,0
226.901,-30,0,0
136.357,-30,0,0
125.931,-30,0,0
186.356,-30,0,0
303.751,-30,0,0
110.449,-30,0,0
399.699,-30,0,0
154.943,-30,0,0
40.3942,-30,0,0
7.37477,-30,0,0
143.121,-30,0,0
273.017,-30,0,0
76.643,-30,0,0
154.114,-30,0,0
393.217,-30,0,0
109.284,-30,0,0
639.053,-30,0,0
70.3305,-30,0,0
105.352,-30,0,0
30.3601,-30,0,0
174.145,-30,0,0
446.631,-30,0,0
78.0232,-30,0,0
114.484,-30,0,0
377.592,-30,0,0
98.2228,-30,0,0
97.417,-30,0,0
118.848,-30,0,0
155.454,-30,0,0
160.214,-30,0,0
123.672,-30,0,0
128.27,-30,0,0
106.545,-30,0,0
181.085,-30,0,0
175.171,-30,0,0
357.026,-30,0,0
70.6786,-30,0,0
194.983,-30,0,0
227.977,-30,0,0
15.3602,-30,0,0
82.5052,-30,0,0
366.725,-30,0,0
124.131,-30,0,0
171.448,-30,0,0
234.819,-30,0,0
89.6591,-30,0,0
48.025,-30,0,0
136.567,-30,0,0
85.9125,-30,0,0
94.2607,-30,0,0
189.203,-30,0,0
188.852,-30,0,0
165.642,-30,0,0
357.526,-30,0,0
511.103,-30,0,0
362.04,-30,0,0
105.991,-30,0,0
189.505,-30,0,0
95.9476,-30,0,0
320.503,-30,0,0
130.947,-30,0,0
80.7688,-30,0,0
301.747,-30,0,0
90.7656,-30,0,0
156.55,-30,0,0
93.2641,-30,0,0
168.135,-30,0,0
185.045,-30,0,0
88.2128,-30,0,0
98.2947,-30,0,0
146.228,-30,0,0
100.466,-30,0,0
102.106,-30,0,0
141.713,-30,0,0
100.958,-30,0,0
108.556,-30,0,0
177.341,-30,0,0
446.065,-30,0,0
146.113,-30,0,0
114.186,-30,0,0
651.444,-30,0,0
198.025,-30,0,0
33.9142,-30,0,0
120.741,-30,0,0
197.972,-30,0,0
385.811,-30,0,0
121.971,-30,0,0
284.465,-30,0,0
375.861,-30,0,0
156.026,-30,0,0
80.7805,-30,0,0
114.405,-30,0,0
113.966,-30,0,0
310.396,-30,0,0
120.935,-30,0,0
142.307,-30,0,0
28.4896,-30,0,0
126.181,-30,0,0
87.4439,-30,0,0
101.126,-30,0,0
244.427,-30,0,0
126.205,-30,0,0
183.258,-30,0,0
106.707,-30,0,0
119.166,-30,0,0
112.066,-30,0,0
281.093,-30,0,0
201.657,-30,0,0
274.754,-30,0,0
86.531,-30,0,0
103.7,-30,0,0
323.866,-30,0,0
100.298,-30,0,0
105.51,-30,0,0
513.824,-30,0,0
245.098,-30,0,0
90.8393,-30,0,0
211.25,-30,0,0
443.927,-30,0,0
92.9934,-30,0,0
412.087,-30,0,0
5.96133,-30,0,0
524.606,-30,0,0
169.224,-30,0,0
211.825,-30,0,0
120.771,-30,0,0
240.518,-30,0,0
208.673,-30,0,0
108.75,-30,0,0
328.31,-30,0,0
90.3256,-30,0,0
43.8168,-30,0,0
122.266,-30,0,0
430.928,-30,0,0
109.472,-30,0,0
584.084,-30,0,0
155.125,-30,0,0
170.472,-30,0,0
77.8271,-30,0,0
100.264,-30,0,0
235.545,-30,0,0
166.444,-30,0,0
100.221,-30,0,0
242.653,-30,0,0
185.999,-30,0,0
117.766,-30,0,0
96.1789,-30,0,0
88.6085,-30,0,0
386.028,-30,0,0
314.336,-30,0,0
93.3892,-30,0,0
140.966,-30,0,0
95.6402,-30,0,0
546.958,-30,0,0
101.316,-30,0,0
103.243,-30,0,0
111.107,-30,0,0
284.805,-30,0,0
305.264,-30,0,0
81.7337,-30,0,0
196.862,-30,0,0
2.84403,-30,0,0
153.72,-30,0,0
315.292,-30,0,0
105.727,-30,0,0
85.0878,-30,0,0
205.492,-30,0,0
91.6208,-30,0,0
206.443,-30,0,0
163.703,-30,0,0
122.06,-30,0,0
97.7161,-30,0,0
135.199,-30,0,0
97.2526,-30,0,0
62.0851,-30,0,0
156.946,-30,0,0
494.056,-30,0,0
108.895,-30,0,0
85.94,-30,0,0
300.703,-30,0,0
117.453,-30,0,0
206.296,-30,0,0
147.685,-30,0,0
224.277,-30,0,0
93.5622,-30,0,0
95.3467,-30,0,0
169.233,-30,0,0
477.2,-30,0,0
253.8,-30,0,0
120.188,-30,0,0
92.2527,-30,0,0
144.197,-30,0,0
95.2879,-30,0,0
78.128,-30,0,0
214.045,-30,0,0
265.612,-30,0,0
120.029,-30,0,0
202.206,-30,0,0
187.298,-30,0,0
38.3597,-30,0,0
60.7602,-30,0,0
262.983,-30,0,0
84.611,-30,0,0
