EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
153.585,-40,0,0
210.766,-40,0,0
103.506,-40,0,0
168.675,-40,0,0
95.3463,-40,0,0
39.134,-40,0,0
22.03,-40,0,0
114.035,-40,0,0
76.8324,-40,0,0
153.43,-40,0,0
390.752,-40,0,0
180.815,-40,0,0
73.2918,-40,0,0
240.838,-40,0,0
185.53,-40,0,0
159.616,-40,0,0
90.7391,-40,0,0
90.7373,-40,0,0
129.506,-40,0,0
210.797,-40,0,0
95.8032,-40,0,0
144.119,-40,0,0
110.54,-40,0,0
369.395,-40,0,0
81.8862,-40,0,0
127.024,-40,0,0
216.369,-40,0,0
108.163,-40,0,0
303.611,-40,0,0
594.972,-40,0,0
108.129,-40,0,0
87.4709,-40,0,0
77.3611,-40,0,0
162.158,-40,0,0
94.7771,-40,0,0
95.6342,-40,0,0
132.453,-40,0,0
84.717,-40,0,0
94.4214,-40,0,0
114.731,-40,0,0
161.527,-40,0,0
319.737,-40,0,0
61.316,-40,0,0
111.396,-40,0,0
103.043,-40,0,0
78.1764,-40,0,0
127.211,-40,0,0
131.929,-40,0,0
382.205,-40,0,0
337.846,-40,0,0
84.6088,-40,0,0
115.462,-40,0,0
134.242,-40,0,0
202.771,-40,0,0
169.696,-40,0,0
95.8211,-40,0,0
151.911,-40,0,0
96.9035,-40,0,0
84.889,-40,0,0
72.7367,-40,0,0
411.9,-40,0,0
392.191,-40,0,0
353.674,-40,0,0
116.969,-40,0,0
89.8566,-40,0,0
147.335,-40,0,0
93.0417,-40,0,0
118.556,-40,0,0
211.522,-40,0,0
54.3958,-40,0,0
630.338,-40,0,0
79.631,-40,0,0
78.7849,-40,0,0
330.477,-40,0,0
98.9945,-40,0,0
115.69,-40,0,0
93.8951,-40,0,0
268.242,-40,0,0
118.57,-40,0,0
180.112,-40,0,0
135.375,-40,0,0
153.504,-40,0,0
188.97,-40,0,0
116.051,-40,0,0
137.044,-40,0,0
201.218,-40,0,0
118.737,-40,0,0
116.555,-40,0,0
477.61,-40,0,0
105.578,-40,0,0
16.5167,-40,0,0
203.284,-40,0,0
251.247,-40,0,0
121.263,-40,0,0
108.906,-40,0,0
228.619,-40,0,0
162.377,-40,0,0
107.674,-40,0,0
182.699,-40,0,0
244.542,-40,0,0
131.818,-40,0,0
121.339,-40,0,0
117.703,-40,0,0
156.31,-40,0,0
459.998,-40,0,0
83.1783,-40,0,0
123.454,-40,0,0
198.509,-40,0,0
301.444,-40,0,0
112.609,-40,0,0
543.476,-40,0,0
102.103,-40,0,0
548.686,-40,0,0
251.255,-40,0,0
82.1398,-40,0,0
93.2765,-40,0,0
312.339,-40,0,0
242.909,-40,0,0
187.197,-40,0,0
83.2884,-40,0,0
107.709,-40,0,0
101.373,-40,0,0
227.83,-40,0,0
109.31,-40,0,0
66.7853,-40,0,0
133.351,-40,0,0
214.769,-40,0,0
101.375,-40,0,0
106.371,-40,0,0
127.313,-40,0,0
215.835,-40,0,0
108.984,-40,0,0
135.08,-40,0,0
88.5046,-40,0,0
10.3118,-40,0,0
32.5642,-40,0,0
329.369,-40,0,0
438.181,-40,0,0
101.928,-40,0,0
106.844,-40,0,0
38.9566,-40,0,0
102.908,-40,0,0
237.031,-40,0,0
187.115,-40,0,0
168.914,-40,0,0
157.55,-40,0,0
224.142,-40,0,0
402.378,-40,0,0
105.793,-40,0,0
246.995,-40,0,0
76.4055,-40,0,0
119.104,-40,0,0
141.335,-40,0,0
76.8443,-40,0,0
153.223,-40,0,0
93.541,-40,0,0
292.384,-40,0,0
95.1906,-40,0,0
108.118,-40,0,0
225.111,-40,0,0
617.696,-40,0,0
115.394,-40,0,0
125.295,-40,0,0
166.298,-40,0,0
106.814,-40,0,0
278.454,-40,0,0
308.514,-40,0,0
521.912,-40,0,0
256.633,-40,0,0
100.97,-40,0,0
5.35795,-40,0,0
37.3869,-40,0,0
122.467,-40,0,0
204.778,-40,0,0
74.1704,-40,0,0
276.118,-40,0,0
116.309,-40,0,0
128.184,-40,0,0
127.533,-40,0,0
273.15,-40,0,0
93.7893,-40,0,0
169.75,-40,0,0
58.6916,-40,0,0
67.2843,-40,0,0
243.943,-40,0,0
234.329,-40,0,0
