EnergyDepositedInSi, SourceZ, SiAngleOffAxis, AbsorberThickness
126.888,-20,0,0
190.443,-20,0,0
390.58,-20,0,0
511.454,-20,0,0
194.496,-20,0,0
180.457,-20,0,0
140.006,-20,0,0
54.408,-20,0,0
355.526,-20,0,0
113.111,-20,0,0
132.781,-20,0,0
105.325,-20,0,0
336.924,-20,0,0
88.5288,-20,0,0
43.3062,-20,0,0
132.341,-20,0,0
108.327,-20,0,0
97.0048,-20,0,0
257.458,-20,0,0
152.404,-20,0,0
166.887,-20,0,0
31.7905,-20,0,0
128.012,-20,0,0
15.5259,-20,0,0
200.849,-20,0,0
80.2232,-20,0,0
488.717,-20,0,0
329.694,-20,0,0
227.4,-20,0,0
588.282,-20,0,0
76.9983,-20,0,0
88.5468,-20,0,0
502.979,-20,0,0
100.31,-20,0,0
82.7739,-20,0,0
87.9854,-20,0,0
318.83,-20,0,0
554.261,-20,0,0
84.5794,-20,0,0
121.582,-20,0,0
100.739,-20,0,0
776.665,-20,0,0
85.3102,-20,0,0
79.6169,-20,0,0
6.88125,-20,0,0
114.528,-20,0,0
109.691,-20,0,0
107.878,-20,0,0
207.007,-20,0,0
187.663,-20,0,0
89.1686,-20,0,0
169.404,-20,0,0
113.091,-20,0,0
118.833,-20,0,0
56.1978,-20,0,0
99.7689,-20,0,0
88.3625,-20,0,0
87.3299,-20,0,0
90.2754,-20,0,0
117.413,-20,0,0
310.567,-20,0,0
419.915,-20,0,0
319.063,-20,0,0
14.1246,-20,0,0
120.949,-20,0,0
121.197,-20,0,0
107.76,-20,0,0
121.765,-20,0,0
128.944,-20,0,0
217.253,-20,0,0
124.559,-20,0,0
107.064,-20,0,0
94.2584,-20,0,0
164.427,-20,0,0
326.829,-20,0,0
297.212,-20,0,0
3.88579,-20,0,0
218.254,-20,0,0
268.224,-20,0,0
64.515,-20,0,0
202.57,-20,0,0
150.154,-20,0,0
96.3282,-20,0,0
102.079,-20,0,0
131.894,-20,0,0
264.775,-20,0,0
137.951,-20,0,0
430.391,-20,0,0
94.2553,-20,0,0
116.485,-20,0,0
91.3516,-20,0,0
276.318,-20,0,0
73.248,-20,0,0
85.3679,-20,0,0
249.338,-20,0,0
120.919,-20,0,0
175.965,-20,0,0
81.4895,-20,0,0
107.41,-20,0,0
98.0541,-20,0,0
86.2269,-20,0,0
89.1163,-20,0,0
157.46,-20,0,0
125.099,-20,0,0
32.8269,-20,0,0
607.91,-20,0,0
34.9463,-20,0,0
133.143,-20,0,0
201.439,-20,0,0
195.011,-20,0,0
270.377,-20,0,0
137.467,-20,0,0
79.2863,-20,0,0
77.5814,-20,0,0
344.259,-20,0,0
201.09,-20,0,0
99.6379,-20,0,0
248.147,-20,0,0
423.426,-20,0,0
126.466,-20,0,0
94.0803,-20,0,0
356.697,-20,0,0
114.118,-20,0,0
2.10351,-20,0,0
280.002,-20,0,0
100.849,-20,0,0
321.404,-20,0,0
179.109,-20,0,0
198.004,-20,0,0
92.9374,-20,0,0
281.478,-20,0,0
253.265,-20,0,0
